Id,Prediction
81,1
916,0
1138,1
1203,1
1494,0
1524,0
1531,1
1553,0
1663,1
1668,1
1835,1
1896,0
1935,0
2198,1
2215,0
2316,0
2352,1
2478,0
2535,1
2647,1
2715,1
2721,0
2872,1
3109,1
3356,1
3390,0
3395,0
3569,0
3887,0
3992,1
4057,1
4249,0
5166,1
5171,1
5477,1
5807,0
6669,0
6679,1
6891,1
7039,1
7991,1
8095,0
8372,0
8387,1
8397,1
8421,1
8461,1
9138,0
9287,1
9348,0
9703,0
9993,1
10047,1
10934,1
11414,1
11498,1
11527,1
11560,0
11623,1
11819,1
11825,1
11895,1
12006,0
12043,1
12071,0
12356,0
12674,0
13166,1
13229,1
13874,1
14024,1
14073,0
14177,0
14263,0
14310,0
15235,0
15441,1
15468,1
15726,0
15979,1
16121,1
16162,0
16324,0
16354,0
16392,1
16562,0
16693,1
17367,1
17400,0
17782,1
17941,1
18107,0
18124,0
18259,0
18278,0
18286,1
18530,0
18534,1
18548,1
18811,1
18812,1
18829,0
18897,0
18949,0
19053,0
19191,0
19200,1
19570,1
19724,1
19772,0
19823,1
19857,0
20453,1
20517,0
20547,1
20643,0
20993,0
20996,0
21102,1
21192,0
21208,1
21373,1
21380,1
21407,1
21436,1
21481,0
21540,0
21677,0
21872,0
21960,1
21972,1
22111,0
22114,0
22134,0
22170,0
22186,1
22226,0
22267,0
22544,1
22658,1
22704,0
22738,1
22741,0
22815,0
22879,1
22939,0
22978,0
23100,1
23133,1
23168,1
23271,1
23294,1
23758,0
23788,0
23992,1
23998,1
24439,1
24743,0
24781,1
24834,1
24850,1
24855,0
24879,1
24947,1
24964,1
25056,0
25064,0
25072,1
25098,1
25102,1
25116,1
25152,0
25313,0
25317,1
25331,0
25333,0
25338,0
25372,0
25390,1
25404,0
25466,1
25488,0
25596,0
25644,1
25724,0
25769,1
25774,1
25792,0
25840,0
25877,1
25902,0
25909,0
25934,0
25983,1
26009,0
26052,0
26061,1
26288,1
26363,0
26402,1
26608,0
26703,1
26804,1
26885,0
26933,1
26984,1
27178,1
27378,1
27761,0
27902,0
28225,1
28844,0
28865,0
28926,1
28971,0
29036,1
29044,0
29274,0
29469,0
29504,0
29521,1
29525,1
29569,0
29705,1
29781,0
29796,0
29881,1
29953,1
29958,1
30289,1
30547,0
30634,0
31037,0
31457,0
31476,0
31598,0
31703,1
31795,1
31979,0
32032,1
32460,0
32508,1
32521,0
32700,1
32754,0
33024,1
33040,1
33281,0
33339,1
33439,1
33577,1
33622,1
33876,1
